[{'x': 0.6764, 'y': -0.0866, 'z': -0.7194, 'w': -0.1325}, {'x': 0.9597, 'y': 0.0607, 'z': -0.0919}]
[{'x': -0.7056, 'y': 0.1089, 'z': 0.6852, 'w': 0.144}, {'x': 0.9709, 'y': 0.047, 'z': -0.0066}]
[{'x': -0.7097, 'y': 0.1081, 'z': 0.6819, 'w': 0.14}, {'x': 0.947, 'y': 0.0119, 'z': 0.049}]
[{'x': -0.7136, 'y': 0.1072, 'z': 0.679, 'w': 0.1349}, {'x': 1.0124, 'y': -0.0208, 'z': 0.025}]
[{'x': -0.7141, 'y': 0.1077, 'z': 0.6792, 'w': 0.1311}, {'x': 1.0856, 'y': 0.0255, 'z': -0.0733}]
[{'x': -0.7131, 'y': 0.1102, 'z': 0.6799, 'w': 0.1304}, {'x': 1.0173, 'y': 0.0153, 'z': -0.0383}]
[{'x': -0.7137, 'y': 0.1087, 'z': 0.6794, 'w': 0.1313}, {'x': 0.9656, 'y': -0.0047, 'z': 0.0873}]
[{'x': -0.7149, 'y': 0.1103, 'z': 0.6779, 'w': 0.1313}, {'x': 0.9919, 'y': 0.0851, 'z': -0.0306}]
[{'x': -0.7124, 'y': 0.1115, 'z': 0.6802, 'w': 0.1315}, {'x': 0.9607, 'y': 0.048, 'z': -0.0459}]
[{'x': -0.7072, 'y': 0.1111, 'z': 0.6855, 'w': 0.1328}, {'x': 1.0231, 'y': 0.0504, 'z': -0.1428}]
[{'x': -0.7048, 'y': 0.1126, 'z': 0.6873, 'w': 0.1348}, {'x': 0.9602, 'y': 0.0314, 'z': -0.0622}]
[{'x': -0.7035, 'y': 0.1122, 'z': 0.6882, 'w': 0.1375}, {'x': 0.9348, 'y': 0.0211, 'z': 0.0447}]
[{'x': -0.7014, 'y': 0.1116, 'z': 0.6899, 'w': 0.14}, {'x': 0.9548, 'y': 0.0509, 'z': -0.0426}]
[{'x': -0.7006, 'y': 0.11, 'z': 0.6908, 'w': 0.1408}, {'x': 0.9553, 'y': 0.0578, 'z': 0.0001}]
[{'x': -0.6988, 'y': 0.1101, 'z': 0.6924, 'w': 0.1419}, {'x': 0.9958, 'y': 0.0455, 'z': -0.0311}]
[{'x': -0.698, 'y': 0.1114, 'z': 0.6927, 'w': 0.1435}, {'x': 0.9573, 'y': 0.0651, 'z': 0.0169}]
[{'x': -0.697, 'y': 0.1141, 'z': 0.6931, 'w': 0.1441}, {'x': 0.9743, 'y': 0.0324, 'z': 0.0102}]
[{'x': -0.6971, 'y': 0.1179, 'z': 0.6923, 'w': 0.1442}, {'x': 0.9743, 'y': 0.0333, 'z': 0.0058}]
[{'x': -0.6988, 'y': 0.1215, 'z': 0.6898, 'w': 0.1453}, {'x': 0.929, 'y': 0.1144, 'z': 0.0696}]
[{'x': -0.6999, 'y': 0.1257, 'z': 0.6875, 'w': 0.1474}, {'x': 0.969, 'y': 0.0431, 'z': 0.0437}]
[{'x': -0.6985, 'y': 0.1266, 'z': 0.6884, 'w': 0.1489}, {'x': 0.9778, 'y': 0.0617, 'z': -0.0196}]
[{'x': -0.6966, 'y': 0.1282, 'z': 0.6903, 'w': 0.1477}, {'x': 1.0192, 'y': 0.0704, 'z': -0.0383}]
[{'x': 0.6935, 'y': -0.1281, 'z': -0.6937, 'w': -0.1463}, {'x': 1.0441, 'y': 0.0621, 'z': -0.1106}]
[{'x': 0.6922, 'y': -0.1252, 'z': -0.6961, 'w': -0.1434}, {'x': 0.9958, 'y': 0.0939, 'z': -0.1365}]
[{'x': 0.6923, 'y': -0.1243, 'z': -0.6966, 'w': -0.1418}, {'x': 0.9778, 'y': 0.0734, 'z': 0.0279}]
[{'x': 0.6934, 'y': -0.1233, 'z': -0.6961, 'w': -0.1396}, {'x': 0.9948, 'y': 0.0944, 'z': -0.1365}]
[{'x': 0.6952, 'y': -0.1209, 'z': -0.6958, 'w': -0.1341}, {'x': 0.9538, 'y': 0.0031, 'z': -0.0483}]
[{'x': 0.6948, 'y': -0.1177, 'z': -0.6976, 'w': -0.1293}, {'x': 0.9851, 'y': 0.0099, 'z': -0.0785}]
[{'x': 0.6951, 'y': -0.1158, 'z': -0.6983, 'w': -0.1259}, {'x': 0.9241, 'y': 0.0963, 'z': -0.0474}]
[{'x': 0.6948, 'y': -0.1119, 'z': -0.7, 'w': -0.1213}, {'x': 0.9485, 'y': 0.1017, 'z': -0.0354}]
[{'x': 0.6938, 'y': -0.1061, 'z': -0.7032, 'w': -0.1138}, {'x': 0.9636, 'y': 0.087, 'z': -0.045}]
[{'x': 0.6935, 'y': -0.0977, 'z': -0.7063, 'w': -0.1028}, {'x': 0.9841, 'y': 0.0914, 'z': -0.0699}]
[{'x': 0.6945, 'y': -0.0866, 'z': -0.7089, 'w': -0.0869}, {'x': 0.9719, 'y': 0.0695, 'z': -0.032}]
[{'x': 0.6955, 'y': -0.0742, 'z': -0.7115, 'w': -0.0679}, {'x': 0.9729, 'y': 0.0953, 'z': -0.0675}]
[{'x': 0.6968, 'y': -0.0579, 'z': -0.7134, 'w': -0.046}, {'x': 0.9763, 'y': 0.0636, 'z': -0.0733}]
[{'x': 0.6969, 'y': -0.0397, 'z': -0.7158, 'w': -0.0214}, {'x': 1.0139, 'y': 0.0397, 'z': -0.057}]
[{'x': 0.6957, 'y': -0.0173, 'z': -0.7181, 'w': 0.0017}, {'x': 1.0212, 'y': 0.0431, 'z': -0.0833}]
[{'x': 0.6945, 'y': 0.0068, 'z': -0.7191, 'w': 0.0245}, {'x': 1.0246, 'y': 0.0831, 'z': -0.079}]
[{'x': 0.6937, 'y': 0.0317, 'z': -0.718, 'w': 0.0485}, {'x': 0.9773, 'y': 0.1056, 'z': -0.0574}]
[{'x': 0.6918, 'y': 0.0606, 'z': -0.7155, 'w': 0.0759}, {'x': 0.9538, 'y': 0.1036, 'z': -0.0828}]
[{'x': 0.689, 'y': 0.0905, 'z': -0.7111, 'w': 0.1068}, {'x': 0.9568, 'y': 0.0382, 'z': -0.0939}]
[{'x': 0.6846, 'y': 0.1214, 'z': -0.7053, 'w': 0.1381}, {'x': 0.966, 'y': 0.0192, 'z': -0.102}]
[{'x': 0.6789, 'y': 0.1521, 'z': -0.6983, 'w': 0.1682}, {'x': 0.967, 'y': -0.0047, 'z': -0.0522}]
[{'x': 0.6713, 'y': 0.1805, 'z': -0.6919, 'w': 0.195}, {'x': 0.9475, 'y': 0.0011, 'z': -0.0704}]
[{'x': 0.6621, 'y': 0.2089, 'z': -0.685, 'w': 0.2208}, {'x': 0.9621, 'y': 0.0128, 'z': -0.0637}]
[{'x': 0.6525, 'y': 0.2347, 'z': -0.678, 'w': 0.2438}, {'x': 0.9631, 'y': 0.0089, 'z': -0.0646}]
[{'x': 0.643, 'y': 0.2577, 'z': -0.671, 'w': 0.2644}, {'x': 0.9504, 'y': 0.0255, 'z': -0.0469}]
[{'x': 0.6337, 'y': 0.2779, 'z': -0.6639, 'w': 0.2836}, {'x': 0.969, 'y': 0.0202, 'z': -0.0315}]
[{'x': 0.6238, 'y': 0.2962, 'z': -0.6578, 'w': 0.3008}, {'x': 0.9709, 'y': 0.0324, 'z': -0.0277}]
[{'x': 0.6139, 'y': 0.3125, 'z': -0.6521, 'w': 0.3167}, {'x': 0.9846, 'y': 0.0558, 'z': -0.0416}]
[{'x': 0.6033, 'y': 0.3282, 'z': -0.6463, 'w': 0.3325}, {'x': 0.9836, 'y': 0.0665, 'z': -0.0397}]
[{'x': 0.5942, 'y': 0.3424, 'z': -0.6391, 'w': 0.3483}, {'x': 0.9978, 'y': -0.0082, 'z': -0.0632}]
[{'x': 0.5862, 'y': 0.3539, 'z': -0.6323, 'w': 0.3623}, {'x': 0.9861, 'y': -0.013, 'z': -0.0478}]
[{'x': 0.5821, 'y': 0.3608, 'z': -0.626, 'w': 0.3731}, {'x': 0.9387, 'y': 0.0158, 'z': -0.0598}]
[{'x': 0.5819, 'y': 0.3612, 'z': -0.6216, 'w': 0.3802}, {'x': 0.9538, 'y': -0.0555, 'z': -0.0205}]
[{'x': 0.5806, 'y': 0.3617, 'z': -0.619, 'w': 0.3859}, {'x': 0.9797, 'y': -0.0233, 'z': -0.044}]
[{'x': 0.58, 'y': 0.3621, 'z': -0.6175, 'w': 0.3888}, {'x': 1.0139, 'y': -0.0497, 'z': -0.0474}]
[{'x': 0.5801, 'y': 0.3618, 'z': -0.6193, 'w': 0.3861}, {'x': 0.9978, 'y': -0.0282, 'z': -0.0263}]
[{'x': 0.5818, 'y': 0.3593, 'z': -0.6227, 'w': 0.3804}, {'x': 0.9807, 'y': -0.0833, 'z': 0.0173}]
[{'x': 0.5816, 'y': 0.3591, 'z': -0.6261, 'w': 0.3754}, {'x': 0.9387, 'y': 0.027, 'z': 0.037}]
[{'x': 0.5809, 'y': 0.3584, 'z': -0.6296, 'w': 0.371}, {'x': 0.9265, 'y': 0.0207, 'z': 0.1127}]
[{'x': 0.5806, 'y': 0.3543, 'z': -0.6343, 'w': 0.3674}, {'x': 0.9924, 'y': 0.0177, 'z': 0.0768}]
[{'x': 0.5794, 'y': 0.3481, 'z': -0.64, 'w': 0.3655}, {'x': 1.0266, 'y': 0.0119, 'z': 0.0341}]
[{'x': 0.5805, 'y': 0.3416, 'z': -0.6444, 'w': 0.3621}, {'x': 1.0519, 'y': 0.0001, 'z': 0.0691}]
[{'x': 0.5851, 'y': 0.3335, 'z': -0.6483, 'w': 0.355}, {'x': 0.9948, 'y': 0.0167, 'z': 0.0873}]
[{'x': 0.5919, 'y': 0.3254, 'z': -0.6514, 'w': 0.3457}, {'x': 0.966, 'y': -0.0018, 'z': 0.1741}]
[{'x': 0.5975, 'y': 0.3205, 'z': -0.6534, 'w': 0.3365}, {'x': 0.99, 'y': 0.0182, 'z': 0.1238}]
[{'x': 0.6024, 'y': 0.3166, 'z': -0.6546, 'w': 0.3291}, {'x': 1.007, 'y': 0.089, 'z': 0.0634}]
[{'x': 0.6089, 'y': 0.3124, 'z': -0.6538, 'w': 0.3228}, {'x': 0.9924, 'y': 0.1139, 'z': 0.0849}]
[{'x': 0.6163, 'y': 0.3083, 'z': -0.6519, 'w': 0.3163}, {'x': 1.0407, 'y': 0.0534, 'z': 0.0849}]
[{'x': 0.6252, 'y': 0.305, 'z': -0.6479, 'w': 0.3104}, {'x': 1.0022, 'y': 0.0187, 'z': 0.1645}]
[{'x': 0.6314, 'y': 0.2977, 'z': -0.6486, 'w': 0.3033}, {'x': 1.0192, 'y': 0.0324, 'z': -0.0057}]
[{'x': 0.6342, 'y': 0.2947, 'z': -0.6502, 'w': 0.2969}, {'x': 0.9119, 'y': -0.0121, 'z': 0.0883}]
[{'x': 0.6328, 'y': 0.293, 'z': -0.6551, 'w': 0.2907}, {'x': 0.989, 'y': 0.0509, 'z': -0.0138}]
[{'x': 0.6337, 'y': 0.2877, 'z': -0.6602, 'w': 0.2824}, {'x': 0.9538, 'y': 0.0407, 'z': 0.0188}]
[{'x': 0.6348, 'y': 0.2813, 'z': -0.6648, 'w': 0.2756}, {'x': 0.9704, 'y': 0.0509, 'z': 0.0322}]
[{'x': 0.6362, 'y': 0.2744, 'z': -0.669, 'w': 0.269}, {'x': 0.9402, 'y': 0.0665, 'z': 0.0552}]
[{'x': 0.6369, 'y': 0.2685, 'z': -0.6726, 'w': 0.2644}, {'x': 0.9402, 'y': 0.049, 'z': 0.0619}]
[{'x': 0.6367, 'y': 0.266, 'z': -0.6743, 'w': 0.2629}, {'x': 0.929, 'y': 0.0499, 'z': 0.0202}]
[{'x': 0.6377, 'y': 0.2637, 'z': -0.6742, 'w': 0.2632}, {'x': 0.9573, 'y': 0.0177, 'z': -0.0306}]
[{'x': 0.6378, 'y': 0.2634, 'z': -0.6737, 'w': 0.2645}, {'x': 0.9958, 'y': 0.0285, 'z': 0.0825}]
[{'x': 0.6413, 'y': 0.2585, 'z': -0.6721, 'w': 0.2649}, {'x': 1.0485, 'y': -0.0404, 'z': 0.06}]
[{'x': 0.6464, 'y': 0.2542, 'z': -0.6691, 'w': 0.2644}, {'x': 1.0392, 'y': 0.0026, 'z': -0.0239}]
[{'x': 0.6535, 'y': 0.2516, 'z': -0.665, 'w': 0.2596}, {'x': 1.0056, 'y': 0.0592, 'z': -0.0373}]
[{'x': 0.6566, 'y': 0.2541, 'z': -0.6619, 'w': 0.2573}, {'x': 0.9651, 'y': 0.0685, 'z': -0.0105}]
[{'x': 0.657, 'y': 0.2534, 'z': -0.6616, 'w': 0.2579}, {'x': 0.9329, 'y': 0.1515, 'z': -0.0004}]
[{'x': 0.6544, 'y': 0.2483, 'z': -0.6649, 'w': 0.2608}, {'x': 1.0202, 'y': 0.0407, 'z': -0.0761}]
[{'x': 0.6493, 'y': 0.2486, 'z': -0.6688, 'w': 0.2633}, {'x': 0.9592, 'y': 0.0724, 'z': -0.0493}]
[{'x': 0.6464, 'y': 0.2465, 'z': -0.6723, 'w': 0.2636}, {'x': 1.0266, 'y': 0.0065, 'z': -0.0507}]
[{'x': 0.6455, 'y': 0.2448, 'z': -0.6743, 'w': 0.2621}, {'x': 0.9373, 'y': 0.0919, 'z': -0.01}]
[{'x': 0.647, 'y': 0.2408, 'z': -0.6752, 'w': 0.2599}, {'x': 0.9495, 'y': 0.0578, 'z': 0.0102}]
[{'x': 0.6472, 'y': 0.2416, 'z': -0.6759, 'w': 0.2566}, {'x': 0.9631, 'y': 0.0919, 'z': 0.0111}]
[{'x': 0.6489, 'y': 0.2386, 'z': -0.6767, 'w': 0.2531}, {'x': 0.9826, 'y': 0.0231, 'z': 0.1286}]
[{'x': 0.65, 'y': 0.2385, 'z': -0.6767, 'w': 0.2504}, {'x': 0.9548, 'y': 0.0704, 'z': -0.0435}]
[{'x': 0.6517, 'y': 0.2376, 'z': -0.6765, 'w': 0.2473}, {'x': 0.97, 'y': 0.0265, 'z': -0.021}]
[{'x': 0.6533, 'y': 0.2387, 'z': -0.6759, 'w': 0.2435}, {'x': 1.0012, 'y': 0.0314, 'z': -0.0129}]
[{'x': 0.6547, 'y': 0.2418, 'z': -0.6742, 'w': 0.2415}, {'x': 0.9983, 'y': 0.0675, 'z': -0.0392}]
[{'x': 0.6562, 'y': 0.245, 'z': -0.6711, 'w': 0.2428}, {'x': 0.9724, 'y': 0.0548, 'z': 0.0001}]
[{'x': 0.6573, 'y': 0.2457, 'z': -0.6685, 'w': 0.2461}, {'x': 0.949, 'y': 0.0993, 'z': -0.02}]
[{'x': 0.6553, 'y': 0.2486, 'z': -0.6674, 'w': 0.2516}, {'x': 0.9953, 'y': 0.1285, 'z': -0.1231}]
[{'x': 0.6525, 'y': 0.2529, 'z': -0.6655, 'w': 0.2597}, {'x': 1.0061, 'y': 0.07, 'z': -0.0665}]
[{'x': 0.6467, 'y': 0.2602, 'z': -0.6645, 'w': 0.2693}, {'x': 0.9895, 'y': 0.0875, 'z': -0.032}]
[{'x': 0.6418, 'y': 0.269, 'z': -0.662, 'w': 0.2784}, {'x': 0.9158, 'y': 0.0724, 'z': 0.038}]
[{'x': 0.6334, 'y': 0.2788, 'z': -0.6611, 'w': 0.2899}, {'x': 0.9743, 'y': 0.0714, 'z': -0.0411}]
[{'x': 0.6232, 'y': 0.29, 'z': -0.6594, 'w': 0.3045}, {'x': 0.9709, 'y': 0.0529, 'z': -0.1001}]
[{'x': 0.6101, 'y': 0.3078, 'z': -0.6542, 'w': 0.3241}, {'x': 0.9909, 'y': 0.0787, 'z': -0.0641}]
[{'x': 0.5994, 'y': 0.326, 'z': -0.6446, 'w': 0.3449}, {'x': 1.0178, 'y': 0.0187, 'z': -0.1231}]
[{'x': 0.5902, 'y': 0.3458, 'z': -0.6313, 'w': 0.3654}, {'x': 0.926, 'y': 0.046, 'z': -0.0426}]
[{'x': 0.5781, 'y': 0.3608, 'z': -0.6217, 'w': 0.3861}, {'x': 0.9485, 'y': 0.0534, 'z': -0.0306}]
[{'x': 0.5672, 'y': 0.3692, 'z': -0.6161, 'w': 0.403}, {'x': 0.9592, 'y': 0.0724, 'z': -0.1212}]
[{'x': 0.5502, 'y': 0.3862, 'z': -0.6098, 'w': 0.4199}, {'x': 0.9543, 'y': 0.2023, 'z': -0.1696}]
